Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Guitar,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,97.0,75.0,0.0,0.0,79.8,down,-79.8,3.0,0.0,Over-Supplied,Arts & Music
AP Psychology,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,200.0,157.0,44.0,44.4,80.1,down,-35.7,9.0,4.0,Over-Supplied,AP
NCLEX-PN,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,28.0,19.0,50.0,50.0,69.2,down,-19.2,2.0,1.0,On Track,Professional/Cert
Earth Science,16.0,1.0,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,297.0,209.0,20.0,20.0,72.1,down,-52.1,10.0,2.0,Over-Supplied,High School
Mandarin Chinese 2,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,78.0,52.0,33.0,33.3,68.0,down,-34.7,3.0,1.0,Over-Supplied,Language
Microbiology,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,284.0,237.0,75.0,75.0,83.6,down,-8.6,4.0,3.0,On Track,College
Chemistry 2,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,False,,12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,237.0,197.0,0.0,0.0,83.5,down,-83.5,1.0,0.0,Over-Supplied,College
COTA,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,6.0,4.0,67.0,,66.7,,,0.0,0.0,On Track,Other
CPA AUD,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,37.0,35.0,95.0,,94.6,,,0.0,0.0,On Track,Professional/Cert
Functions,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,155.0,139.0,0.0,0.0,90.3,down,-90.3,1.0,0.0,Over-Supplied,High School
CFA - Level 1,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,17.0,15.0,88.0,,88.2,,,0.0,0.0,On Track,Professional/Cert
CompTIA Security+,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,27.0,16.0,0.0,0.0,61.5,down,-61.5,1.0,0.0,Over-Supplied,Professional/Cert
Thermodynamics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,129.0,109.0,84.0,,84.5,,,0.0,0.0,On Track,College
FAA,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,8.0,53.0,,53.3,,,0.0,0.0,On Track,Other
Music Theory,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,198.0,128.0,0.0,0.0,67.0,down,-67.0,7.0,0.0,Over-Supplied,Arts & Music
Business Statistics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,143.0,122.0,50.0,50.0,86.3,down,-36.3,4.0,2.0,On Track,College
Physical Chemistry,2.0,2.0,2.0,-21.0,3.0,127,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,0.0,1.0,80.0,69.0,86.0,,86.2,,,0.0,0.0,On Track,College
Math 1,5.0,1.0,6.0,-71.0,25.0,350,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,484.0,410.0,67.0,66.7,84.8,down,-18.2,3.0,2.0,On Track,High School
Elementary Social Studies,48.0,1.0,58.0,-98.0,329.0,4800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1195.0,912.0,40.0,40.5,77.6,down,-37.1,42.0,17.0,Over-Supplied,Elementary
Statistics Graduate Level,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,,,,,,,2.0,1.0,120.0,102.0,33.0,33.3,86.3,down,-53.0,3.0,1.0,Over-Supplied,College
COMLEX,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,12.0,80.0,,80.0,,,0.0,0.0,On Track,Test Prep
IB Physics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,97.0,79.0,81.0,,81.4,,,0.0,0.0,On Track,IB
AP European History,4.0,1.0,5.0,-64.0,18.0,280,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,1.0,99.0,82.0,100.0,100.0,82.7,up,17.3,1.0,1.0,On Track,AP
AP Physics 2,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,227.0,199.0,88.0,,87.7,,,0.0,0.0,On Track,AP
PRAXIS Speech Language Pathology,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,On Track,Professional/Cert
Hindi,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,81.0,65.0,80.0,,80.2,,,0.0,0.0,On Track,Other
Genetics,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,99.0,83.0,60.0,60.0,85.1,down,-25.1,5.0,3.0,On Track,College
SSAT- Upper Level,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,12.0,2.0,147.0,122.0,75.0,75.0,84.6,down,-9.6,24.0,18.0,On Track,Test Prep
German 1,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,64.0,48.0,75.0,,75.0,,,0.0,0.0,On Track,Language
ISEE- Middle Level,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,142.0,118.0,73.0,72.7,85.0,down,-12.3,22.0,16.0,On Track,Test Prep
PANCE,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,0.0,0.0,87.5,down,-87.5,1.0,0.0,Over-Supplied,Test Prep
Environmental Science,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,165.0,138.0,50.0,50.0,84.0,down,-34.0,2.0,1.0,On Track,Other
Blender,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,20.0,16.0,80.0,,80.0,,,0.0,0.0,On Track,Other
Polish,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,On Track,Language
PMP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,32.0,21.0,66.0,,65.6,,,0.0,0.0,On Track,Professional/Cert
ARDMS - Sonography Principals and Instruments (SPI),1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,7.0,78.0,,77.8,,,0.0,0.0,On Track,Professional/Cert
Data Analysis,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,132.0,117.0,50.0,50.0,89.2,down,-39.2,2.0,1.0,On Track,College
Computer Game Design,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,47.0,39.0,83.0,,83.0,,,0.0,0.0,On Track,Technology
Discrete Math,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,206.0,175.0,0.0,0.0,85.4,down,-85.4,1.0,0.0,Over-Supplied,College
Physical Science,3.0,1.0,4.0,-52.0,11.0,210,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,0.0,1.0,237.0,200.0,100.0,100.0,84.3,up,15.7,1.0,1.0,On Track,High School
Data Structures,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,143.0,119.0,0.0,0.0,83.8,down,-83.8,1.0,0.0,Over-Supplied,College
Marketing,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,6.0,3.0,141.0,117.0,43.0,42.9,85.1,down,-42.2,7.0,3.0,Over-Supplied,College
Latin 2,2.0,1.0,2.0,-43.0,6.0,175,False,8.0,False,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,1.0,48.0,35.0,67.0,66.7,73.3,down,-6.7,3.0,2.0,On Track,Language
Pathophysiology,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,108.0,85.0,29.0,28.6,82.2,down,-53.6,7.0,2.0,Over-Supplied,College
FE - Mechanical Engineering,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,9.0,4.0,44.0,,44.4,,,0.0,0.0,Over-Supplied,Other
Cell Biology,10.0,1.0,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,415.0,341.0,43.0,42.9,82.8,down,-40.0,7.0,3.0,Over-Supplied,College
Grade 12 Physics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,174.0,145.0,83.0,,83.3,,,0.0,0.0,On Track,High School
GED Math,5.0,1.0,6.0,-89.0,31.0,875,False,4.0,False,,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,1.0,389.0,323.0,80.0,80.0,83.1,down,-3.1,10.0,8.0,On Track,Test Prep
PRAXIS Core Math,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,53.0,45.0,0.0,0.0,86.5,down,-86.5,1.0,0.0,Over-Supplied,Professional/Cert
Ukrainian,1.0,2.0,1.0,71.0,-5.0,58,True,12.0,False,,12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,10.0,9.0,90.0,,90.0,,,0.0,0.0,True Supply Problem,Language
Autodesk Revit,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,28.0,100.0,100.0,76.5,up,23.5,2.0,2.0,On Track,Arts & Music
High School Computer Science,9.0,1.0,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,257.0,209.0,38.0,37.5,82.7,down,-45.2,8.0,3.0,Over-Supplied,High School
ISEE- Upper Level,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,127.0,105.0,75.0,75.0,84.1,down,-9.1,20.0,15.0,On Track,Test Prep
Social Work,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,6.0,2.0,102.0,80.0,14.0,14.3,83.2,down,-68.9,7.0,1.0,Over-Supplied,College
College Business,11.0,1.0,13.0,-91.0,70.0,1100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,176.0,50.0,50.0,82.7,down,-32.7,8.0,4.0,On Track,College
Machine Learning,5.0,1.0,6.0,-80.0,28.0,500,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,86.0,75.0,50.0,50.0,89.0,down,-39.0,4.0,2.0,On Track,College
AP Physics C: Electricity and Magnetism,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,95.0,86.0,,86.4,,,0.0,0.0,On Track,AP
Philosophy,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,110.0,80.0,25.0,25.0,74.5,down,-49.5,4.0,1.0,Over-Supplied,College
Singing,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,86.0,68.0,79.0,,79.1,,,0.0,0.0,On Track,Arts & Music
GRE Quantitative,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,133.0,119.0,89.0,,89.5,,,0.0,0.0,On Track,Test Prep
HESI,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,23.0,19.0,83.0,,82.6,,,0.0,0.0,On Track,Other
CPA REG,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,33.0,30.0,91.0,,90.9,,,0.0,0.0,On Track,Professional/Cert
Video Game Design,2.0,2.0,2.0,-21.0,3.0,127,False,11.0,False,,11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,37.0,30.0,81.0,,81.1,,,0.0,0.0,On Track,Technology
High School Economics,6.0,2.0,7.0,-67.0,28.0,300,False,14.0,False,,14.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,1.0,276.0,219.0,57.0,57.1,79.9,down,-22.8,7.0,4.0,On Track,High School
SQL,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,177.0,144.0,56.0,55.6,82.7,down,-27.2,9.0,5.0,On Track,College
MAP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,25.0,19.0,76.0,,76.0,,,0.0,0.0,On Track,Test Prep
Graphic Design,11.0,1.0,13.0,-91.0,70.0,1100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,3.0,120.0,84.0,29.0,28.6,72.6,down,-44.0,7.0,2.0,Over-Supplied,Arts & Music
TOEFL,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,69.0,56.0,81.0,,81.2,,,0.0,0.0,On Track,Other
Contract Law,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,52.0,38.0,33.0,33.3,75.5,down,-42.2,3.0,1.0,Over-Supplied,College
Animation,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,36.0,28.0,78.0,,77.8,,,0.0,0.0,On Track,Arts & Music
Autodesk Fusion 360,1.0,1.0,1.0,43.0,-3.0,70,True,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,22.0,18.0,0.0,0.0,85.7,down,-85.7,1.0,0.0,Placement Bottleneck,Arts & Music
Finite Mathematics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,142.0,121.0,100.0,100.0,85.1,up,14.9,1.0,1.0,On Track,College
IB French,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,38.0,29.0,100.0,100.0,75.7,up,24.3,1.0,1.0,On Track,IB
Data Science,7.0,1.0,8.0,-86.0,42.0,700,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,121.0,98.0,50.0,50.0,83.2,down,-33.2,8.0,4.0,On Track,College
Project Management/PMP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,65.0,47.0,72.0,,72.3,,,0.0,0.0,On Track,Professional/Cert
Microsoft Word,11.0,1.0,13.0,-87.0,67.0,770,False,10.0,False,,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,302.0,234.0,50.0,50.0,77.9,down,-27.9,4.0,2.0,On Track,Technology
Sociology,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,182.0,151.0,83.0,,83.0,,,0.0,0.0,On Track,College
Neuroscience,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,145.0,110.0,33.0,33.3,76.8,down,-43.4,3.0,1.0,Over-Supplied,College
Algorithms,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,100.0,82.0,0.0,0.0,82.8,down,-82.8,1.0,0.0,Over-Supplied,College
Civil Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,51.0,41.0,100.0,100.0,80.0,up,20.0,1.0,1.0,On Track,College
Voice,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,78.0,61.0,78.0,,78.2,,,0.0,0.0,On Track,Arts & Music
R Programming,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,58.0,47.0,0.0,0.0,82.5,down,-82.5,1.0,0.0,Over-Supplied,College
Public Health,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,91.0,68.0,75.0,,74.7,,,0.0,0.0,On Track,College
Algebra Regents,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,129.0,101.0,78.0,,78.3,,,0.0,0.0,On Track,Test Prep
Biostatistics,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,108.0,90.0,0.0,0.0,84.1,down,-84.1,1.0,0.0,Over-Supplied,College
Web Development,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,97.0,83.0,100.0,100.0,85.4,up,14.6,1.0,1.0,On Track,College
Logic,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,82.0,62.0,76.0,,75.6,,,0.0,0.0,On Track,College
Physics 11,1.0,2.0,1.0,86.0,-6.0,54,True,13.0,False,,13.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,1.0,105.0,90.0,86.0,,85.7,,,0.0,0.0,True Supply Problem,Other
